idLocation,state,country
0,Alabama,US
1,Alaska,US
2,Arizona,US
3,Arkansas,US
4,California,US
5,Colorado,US
6,Connecticut,US
7,Delaware,US
8,Florida,US
9,Georgia,US
10,Hawaii,US
11,Idaho,US
12,Illinois,US
13,Indiana,US
14,Iowa,US
15,Kansas,US
16,Kentucky,US
17,Louisiana,US
18,Maine,US
19,Maryland,US
20,Massachusetts,US
21,Michigan,US
22,Minnesota,US
23,Mississippi,US
24,Missouri,US
25,Montana,US
26,Nebraska,US
27,Nevada,US
28,New Hampshire,US
29,New Jersey,US
30,Ciudad De Mexico,US
31,New York,US
32,North Carolina,US
33,North Dakota,US
34,Ohio,US
35,Oklahoma,US
36,Oregon,US
37,Pennsylvania,US
38,Rhode Island,US
39,South Carolina,US
40,South Dakota,US
41,Tennessee,US
42,Texas,US
43,Utah,US
44,Vermont,US
45,Virginia,US
46,Washington,US
47,West Virginia,US
48,Wisconsin,US
49,Wyoming,US
50,Aguascalientes,MX
51,Baja California,MX
52,Baja California Sur,MX
53,Campeche,MX
54,Chiapas,MX
55,Chihuahua,MX
56,Coahuila,MX
57,Colima,MX
58,Durango,MX
59,Guanajuato,MX
60,Guerrero,MX
61,Hidalgo,MX
62,Jalisco,MX
63,Mexico,MX
64,Mexico City,MX
65,Michoacan,MX
66,Morelos,MX
67,Nayarit,MX
68,Nuevo Leon,MX
69,Oaxaca,MX
70,Puebla,MX
71,Queretaro,MX
72,Quintana Roo,MX
73,San Luis Potosi,MX
74,Sinaloa,MX
75,Sonora,MX
76,Tabasco,MX
77,Tamaulipas,MX
78,Tlaxcala,MX
79,Veracruz,MX
80,Yucatan,MX
81,Zacatecas,MX
82,Hokkaido,JP
83,Honshu,JP
84,Shikoku,JP
85,Kyushu,JP
86,Okinawa,JP
87,Ryukyu,JP
