idDamage,magnitude,depth,idLocation,latitude,longitude,deaths,damage_millons_dollars,houses_destroyed,houses_damaged,total_deaths,total_damage_millons_dollars,total_houses_destroyed,total_houses_damaged
8,7.6,102.0,83.0,43.3,143.691,2.0,358.0,,,2.0,358.0,,
10,7.7,17.0,82.0,42.851,139.197,23.0,1207.0,,,231.0,1207.0,2374.0,
13,7.8,27.0,83.0,40.525,143.419,3.0,170.4,,,3.0,170.4,,
14,6.9,22.0,83.0,34.583,135.018,5502.0,100000.0,200000.0,,5502.0,100000.0,200000.0,
26,6.1,10.0,83.0,34.221,139.131,1.0,,,,1.0,,,
29,6.7,10.0,83.0,35.456,133.134,,150.0,104.0,2230.0,,150.0,104.0,2230.0
30,6.8,50.0,83.0,34.083,132.526,2.0,500.0,,3700.0,2.0,500.0,,3700.0
32,7.0,68.0,83.0,38.849,141.568,,233.0,,720.0,,233.0,,720.0
33,5.5,10.0,83.0,38.432,141.003,,411.0,,1025.0,,411.0,,1025.0
35,8.3,27.0,82.0,41.815,143.91,,90.0,,,2.0,90.0,,
40,6.6,16.0,83.0,37.226,138.779,40.0,28000.0,6000.0,,40.0,28000.0,6000.0,
41,5.9,14.0,83.0,37.284,138.885,,,1.0,,,,1.0,
47,6.6,10.0,85.0,33.807,130.131,1.0,,65.0,,1.0,,65.0,
48,5.9,61.0,83.0,35.498,139.982,,,1.0,,,,1.0,
49,7.2,36.0,83.0,38.276,142.039,,,1.0,,,,1.0,
52,6.7,8.0,83.0,37.336,136.588,1.0,,58.0,455.0,1.0,,58.0,455.0
53,4.6,16.0,83.0,34.807,136.239,,,63.0,,,,63.0,
54,6.6,10.0,83.0,37.57,138.478,9.0,12500.0,,875.0,9.0,12500.0,,875.0
57,6.9,8.0,83.0,39.03,140.881,13.0,,,614.0,13.0,,,614.0
59,6.8,108.0,83.0,39.802,141.464,1.0,,90.0,90.0,1.0,,,90.0
61,6.4,40.0,83.0,34.743,138.264,1.0,,,5192.0,1.0,,,5192.0
66,9.1,30.0,83.0,38.297,142.372,1475.0,4401.709,2473.0,5618.0,18431.0,220085.456,123661.0,280920.0
69,7.1,42.0,83.0,38.276,141.588,3.0,,,,3.0,,,
70,6.6,11.0,83.0,37.001,140.401,7.0,,3.0,,7.0,,3.0,
79,6.2,9.0,83.0,36.641,137.888,,,50.0,,,,50.0,
84,7.0,10.0,85.0,32.791,130.754,50.0,20000.0,80000.0,,50.0,20000.0,80000.0,
86,6.2,6.0,83.0,35.374,133.809,,100.0,2.0,160.0,,100.0,2.0,160.0
89,5.5,11.0,83.0,34.833,135.612,5.0,7000.0,,470.0,5.0,7000.0,,470.0
90,6.6,33.0,82.0,42.671,141.933,44.0,2000.0,,,44.0,2000.0,,
92,6.8,19.0,63.0,16.773,-99.328,3.0,,,,,,,
93,7.4,23.0,60.0,16.779,-98.597,3.0,,,,3.0,,,
94,8.0,33.0,62.0,19.055,-104.205,49.0,,,,50.0,,,
96,7.2,33.0,65.0,18.219,-102.756,1.0,,,,,,,
98,7.0,70.0,70.0,18.386,-97.436,20.0,226.8,,2000.0,20.0,226.8,,2000.0
100,7.5,61.0,69.0,16.059,-96.931,35.0,164.8,,2000.0,35.0,164.8,,2000.0
104,7.5,24.0,57.0,18.77,-104.104,29.0,,2005.0,6615.0,29.0,,2005.0,6615.0
107,6.0,34.0,60.0,17.302,-100.198,,,2.0,,,,2.0,
110,7.2,4.0,,32.297,-115.278,2.0,1150.0,,,2.0,1150.0,,
111,6.2,20.0,63.0,16.396,-97.782,1.0,,,,1.0,,,
112,6.4,54.0,60.0,17.844,-99.963,2.0,,,70.0,2.0,,,70.0
113,7.4,20.0,60.0,16.493,-98.231,2.0,,800.0,,2.0,,800.0,
117,6.9,67.0,63.0,14.728,-92.578,3.0,,,50.0,3.0,,,50.0
118,6.3,107.0,69.0,17.682,-95.653,1.0,,,,1.0,,,
119,6.6,85.0,63.0,15.802,-93.633,2.0,,,,2.0,,,
120,8.2,46.0,69.0,14.761,-94.103,98.0,4000.0,47468.0,94027.0,98.0,4000.0,47468.0,94027.0
121,7.1,39.0,63.0,18.339,-98.68,369.0,8000.0,226.0,184000.0,369.0,8000.0,226.0,184000.0
122,6.1,10.0,69.0,16.626,-95.078,5.0,,11.0,,5.0,,11.0,
123,7.2,25.0,69.0,16.646,-97.653,13.0,,,1000.0,13.0,,,1000.0
126,6.1,9.0,10.0,19.362,-155.083,,,105.0,,,,105.0,
128,6.9,19.0,4.0,37.036,-121.883,62.0,5600.0,,,62.0,5600.0,,
129,5.5,5.0,4.0,34.14,-117.7,,12.7,,,,12.7,,
130,5.1,11.0,4.0,34.262,-118.002,2.0,33.5,,,2.0,33.5,,
133,7.1,15.0,4.0,40.368,-124.316,,75.0,,,,75.0,,
134,7.6,1.0,4.0,34.201,-116.436,3.0,92.0,,,3.0,92.0,,
137,5.6,21.0,46.0,45.035,-122.607,,28.4,,,,,,
138,6.0,11.0,36.0,42.314,-122.012,2.0,7.5,,,,,,
140,6.7,18.0,4.0,34.213,-118.537,60.0,40000.0,40000.0,,60.0,40000.0,40000.0,
143,5.5,23.0,4.0,40.741,-124.31,,2.1,,,,2.1,,
148,5.0,10.0,4.0,38.379,-122.413,,50.0,,,,50.0,,
149,6.8,52.0,46.0,47.149,-122.727,1.0,2000.0,,,1.0,2000.0,,
153,7.9,5.0,1.0,63.517,-147.444,,56.0,,,,56.0,,
158,6.6,8.0,4.0,35.706,-121.102,2.0,300.0,40.0,,2.0,300.0,,
162,6.7,39.0,10.0,19.878,-155.935,,73.0,,,,73.0,,
166,4.2,2.0,43.0,39.465,-111.237,9.0,,,,9.0,,,
167,1.6,0.0,43.0,39.464,-111.207,3.0,,,,3.0,,,
173,6.5,29.0,4.0,40.652,-124.692,,21.8,,,,21.8,,
181,5.7,5.0,35.0,35.532,-96.765,,,14.0,,,,14.0,
184,2.1,0.0,42.0,31.817,-97.088,14.0,100.0,50.0,,14.0,100.0,50.0,
186,5.1,4.0,4.0,33.863,-117.835,,10.8,,20.0,,10.8,,20.0
