,EventID,Time,Latitude,Longitude,Depth,Catalog,MagType,Magnitude,MagAuthor,EventLocationName
1,11620696,2022-11-14 13:27:58+00:00,37.4234,137.2428,11.551,Neic Pde,Mb,4.6,Us,"Near West Coast Of Honshu, Japan"
2,11620652,2022-11-14 08:08:26+00:00,33.8016,137.2543,357.441,Neic Pde,Mww,6.1,Us,"Near S. Coast Of Honshu, Japan"
7,11619262,2022-11-10 01:22:46+00:00,35.6033,141.8773,10.0,Neic Pde,Mb,4.6,Us,"Near East Coast Of Honshu, Japan"
8,11618969,2022-11-09 08:40:12+00:00,36.1738,140.033,56.045,Neic Pde,Mb,5.0,Us,"Near East Coast Of Honshu, Japan"
9,11618888,2022-11-09 03:37:25+00:00,31.6502,131.8419,35.0,Neic Pde,Mb,4.5,Us,"Kyushu, Japan"
10,11618741,2022-11-08 20:56:42+00:00,32.3847,142.4644,10.0,Neic Pde,Mb,4.5,Us,"Southeast Of Honshu, Japan"
11,11620520,2022-11-06 14:01:02+00:00,30.2968,140.9506,48.118,Neic Pde,Mb,4.2,Us,"Southeast Of Honshu, Japan"
13,11617594,2022-11-05 17:17:44+00:00,41.1385,142.7359,48.232,Neic Pde,Mb,4.3,Us,"Hokkaido, Japan Region"
14,11617050,2022-11-04 10:50:51+00:00,38.4165,141.5618,70.326,Neic Pde,Mb,4.3,Us,"Near East Coast Of Honshu, Japan"
15,11616687,2022-11-03 20:16:34+00:00,35.0803,140.1348,45.193,Neic Pde,Mb,4.2,Us,"Near East Coast Of Honshu, Japan"
16,11618711,2022-11-03 18:57:21+00:00,35.0847,140.175,36.876,Neic Pde,Mb,4.0,Us,"Near East Coast Of Honshu, Japan"
17,11616542,2022-11-03 11:16:57+00:00,35.5785,140.1589,66.764,Neic Pde,Mb,4.8,Us,"Near East Coast Of Honshu, Japan"
18,11616529,2022-11-03 10:04:33+00:00,35.5838,140.1695,64.822,Neic Pde,Mww,4.9,Us,"Near East Coast Of Honshu, Japan"
19,11619412,2022-11-03 10:02:54+00:00,35.6275,140.2716,62.682,Neic Pde,Mb,4.2,Us,"Near East Coast Of Honshu, Japan"
20,11616383,2022-11-02 23:24:15+00:00,41.8215,145.3627,10.0,Neic Pde,Mb,4.3,Us,"Hokkaido, Japan Region"
21,11620614,2022-11-02 15:03:38+00:00,32.3065,142.8382,10.0,Neic Pde,Mb,4.4,Us,"Southeast Of Honshu, Japan"
22,11615917,2022-11-01 23:45:54+00:00,41.9614,144.9414,14.274,Neic Pde,Mb,5.1,Us,"Hokkaido, Japan Region"
24,11616677,2022-10-29 03:35:24+00:00,35.6269,140.468,58.88,Neic Pde,Mb,4.2,Us,"Near East Coast Of Honshu, Japan"
25,11614359,2022-10-28 20:56:27+00:00,37.3744,141.8657,49.821,Neic Pde,Mb,4.7,Us,"Near East Coast Of Honshu, Japan"
26,11616992,2022-10-28 09:24:04+00:00,38.9945,142.0168,64.716,Neic Pde,Mb,4.1,Us,"Near East Coast Of Honshu, Japan"
28,11613778,2022-10-27 14:36:27+00:00,32.2787,142.9668,10.0,Neic Pde,Mb,4.5,Us,"Southeast Of Honshu, Japan"
29,11613740,2022-10-27 13:25:04+00:00,41.9242,144.885,26.815,Neic Pde,Mb,5.0,Us,"Hokkaido, Japan Region"
31,11615975,2022-10-27 04:20:06+00:00,32.1925,142.5361,10.0,Neic Pde,Mb,5.0,Us,"Southeast Of Honshu, Japan"
32,11615972,2022-10-27 04:09:57+00:00,35.1543,136.543,31.047,Neic Pde,Mb,4.3,Us,"Western Honshu, Japan"
33,11615674,2022-10-26 20:54:32+00:00,32.3931,142.687,10.0,Neic Pde,Mb,4.0,Us,"Southeast Of Honshu, Japan"
34,11615198,2022-10-26 18:12:51+00:00,32.2376,142.6885,10.0,Neic Pde,Mb,4.4,Us,"Southeast Of Honshu, Japan"
35,11613220,2022-10-26 09:30:13+00:00,41.9588,145.1402,10.0,Neic Pde,Mb,4.4,Us,"Hokkaido, Japan Region"
36,11613161,2022-10-26 07:06:03+00:00,41.9619,144.7352,35.062,Neic Pde,Mww,5.3,Us,"Hokkaido, Japan Region"
37,11613164,2022-10-26 07:05:12+00:00,41.9912,144.7166,37.754,Neic Pde,Mb,4.6,Us,"Hokkaido, Japan Region"
38,11617953,2022-10-24 21:11:17+00:00,37.8099,141.7906,52.495,Neic Pde,Mb,4.4,Us,"Near East Coast Of Honshu, Japan"
39,11612165,2022-10-24 08:48:23+00:00,41.9037,145.0199,10.0,Neic Pde,Mb,4.9,Us,"Hokkaido, Japan Region"
40,11612156,2022-10-24 07:43:51+00:00,41.8823,144.9727,10.0,Neic Pde,Mb,4.9,Us,"Hokkaido, Japan Region"
41,11612208,2022-10-24 06:59:20+00:00,41.5204,142.137,71.132,Neic Pde,Mb,4.4,Us,"Hokkaido, Japan Region"
42,11613929,2022-10-23 22:51:28+00:00,31.3703,141.6964,10.0,Neic Pde,Mb,4.1,Us,"Southeast Of Honshu, Japan"
43,11612076,2022-10-23 22:35:41+00:00,31.3512,141.8407,10.0,Neic Pde,Mb,4.4,Us,"Southeast Of Honshu, Japan"
44,11612044,2022-10-23 20:09:07+00:00,31.3761,141.7952,14.521,Neic Pde,Mww,4.9,Us,"Southeast Of Honshu, Japan"
45,11611975,2022-10-23 13:01:10+00:00,40.9832,141.8488,66.627,Neic Pde,Mb,4.5,Us,"Near East Coast Of Honshu, Japan"
48,11611222,2022-10-21 06:19:48+00:00,37.4163,141.2093,40.722,Neic Pde,Mb,4.9,Us,"Near East Coast Of Honshu, Japan"
49,11611101,2022-10-21 01:00:08+00:00,43.3293,140.2022,180.053,Neic Pde,Mb,4.2,Us,"Hokkaido, Japan Region"
50,11611252,2022-10-20 11:36:18+00:00,39.5664,143.3458,26.558,Neic Pde,Mb,4.2,Us,"Off East Coast Of Honshu, Japan"
52,11610238,2022-10-19 05:55:00+00:00,39.6478,143.3627,23.675,Neic Pde,Mww,5.2,Us,"Off East Coast Of Honshu, Japan"
53,11610235,2022-10-19 05:14:09+00:00,39.6294,143.375,27.252,Neic Pde,Mb,4.6,Us,"Off East Coast Of Honshu, Japan"
54,11610561,2022-10-19 03:05:56+00:00,45.0494,142.5121,269.853,Neic Pde,Mb,4.0,Us,"Hokkaido, Japan Region"
55,11610178,2022-10-19 00:43:03+00:00,39.6753,143.4275,27.216,Neic Pde,Mb,4.6,Us,"Off East Coast Of Honshu, Japan"
